台湾酒店2,#genre#

Star World,http://49.235.110.121:9090/daili/twjd678-2.php?id=1
人間衛視,http://49.235.110.121:9090/daili/twjd678-2.php?id=2
八大第一HD,http://49.235.110.121:9090/daili/twjd678-2.php?id=3
CNBC,http://49.235.110.121:9090/daili/twjd678-2.php?id=4
HBO,http://49.235.110.121:9090/daili/twjd678-2.php?id=5
ELEVEN SPORTS 1 HD,http://49.235.110.121:9090/daili/twjd678-2.php?id=6
ELEVEN SPORTS 2 HD,http://49.235.110.121:9090/daili/twjd678-2.php?id=7
FOX MOVIES,http://49.235.110.121:9090/daili/twjd678-2.php?id=8
國家地理,http://49.235.110.121:9090/daili/twjd678-2.php?id=9
衛視電影,http://49.235.110.121:9090/daili/twjd678-2.php?id=10
三立台灣,http://49.235.110.121:9090/daili/twjd678-2.php?id=11
年代新聞台,http://49.235.110.121:9090/daili/twjd678-2.php?id=12
三立新聞,http://49.235.110.121:9090/daili/twjd678-2.php?id=13
台視HD,http://49.235.110.121:9090/daili/twjd678-2.php?id=14
大愛電視,http://49.235.110.121:9090/daili/twjd678-2.php?id=15
國家地理HD,http://49.235.110.121:9090/daili/twjd678-2.php?id=16
DISCOVERY,http://49.235.110.121:9090/daili/twjd678-2.php?id=17
旅遊生活,http://49.235.110.121:9090/daili/twjd678-2.php?id=18
動物星球,http://49.235.110.121:9090/daili/twjd678-2.php?id=19
momo親子台,http://49.235.110.121:9090/daili/twjd678-2.php?id=20
東森幼幼HD,http://49.235.110.121:9090/daili/twjd678-2.php?id=21
緯來綜合HD,http://49.235.110.121:9090/daili/twjd678-2.php?id=22
八大綜合HD,http://49.235.110.121:9090/daili/twjd678-2.php?id=23
三立台灣HD,http://49.235.110.121:9090/daili/twjd678-2.php?id=24
三立都會HD,http://49.235.110.121:9090/daili/twjd678-2.php?id=25
衛視中文HD,http://49.235.110.121:9090/daili/twjd678-2.php?id=26
中天娛樂HD,http://49.235.110.121:9090/daili/twjd678-2.php?id=27
MUCH TV,http://49.235.110.121:9090/daili/twjd678-2.php?id=28
年代新聞,http://49.235.110.121:9090/daili/twjd678-2.php?id=29
